GeneChip,ProbeSet,ProbeX,ProbeY,PM/MM,PixelX,PixelY,Intensity
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4521,1665,990
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4522,1661,535
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4522,1662,842
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4522,1663,991
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4522,1664,1042
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4522,1665,996
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4523,1661,480
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4523,1662,692
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4523,1663,791
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4523,1664,831
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4523,1665,822
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4524,1661,552
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4524,1662,502
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4524,1663,473
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4524,1664,511
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4524,1665,523
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4261,1393,210
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4261,1394,300
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4261,1395,374
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4261,1396,463
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4261,1397,422
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4262,1393,251
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4262,1394,345
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4262,1395,397
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4262,1396,450
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4262,1397,362
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4263,1393,215
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4263,1394,344
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4263,1395,398
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4263,1396,400
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4263,1397,296
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4264,1393,150
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4264,1394,212
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4264,1395,249
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4264,1396,241
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4264,1397,199
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4265,1393,69
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4265,1394,99
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4265,1395,112
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4265,1396,93
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,573,165,PM,4265,1397,105
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,597,3716,147
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,597,3717,248
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,597,3718,295
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,597,3719,261
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,597,3720,270
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,598,3716,217
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,598,3717,408
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,598,3718,510
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,598,3719,523
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,598,3720,515
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,599,3716,191
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,599,3717,298
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,599,3718,524
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,599,3719,637
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,599,3720,573
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,600,3716,170
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,600,3717,358
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,600,3718,530
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,600,3719,549
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,600,3720,566
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,601,3716,141
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,54,497,PM,601,3717,330
